,task,conversation_id,instruction_id,index,speaker,text,segments,new_text,gold_labels,G_DA_rep_init,G_DA_greet,G_DA_conf,G_DA_receipt,G_DA_disconf,G_DA_closer,G_DA_comp_check,G_DA_hold,G_DA_partial_req,G_DA_detail_req,G_DA_grant,G_DA_answer,DA_rep_init,DA_greet,DA_conf,DA_receipt,DA_disconf,DA_closer,DA_comp_check,DA_hold,DA_partial_req,DA_detail_req,DA_grant,DA_answer,all_DA
2451,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,5,U,"I prefer a non-stop, but if there is a layover again, I'm okay with it.","[{'start_index': 11, 'end_index': 19, 'text': 'non-stop', 'annotations': [{'name': 'flight_search.stops'}]}, {'start_index': 39, 'end_index': 46, 'text': 'layover', 'annotations': [{'name': 'flight_search.stops'}]}]","I prefer a non-stop, but if there is a layover again, I'm okay with it.",answer,,,,,,,,,,,,answer,,,confirmation,,,,,,,,,answer,"['confirmation', 'answer']"
2452,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,6,A,What time of day did you want to leave?,,What time of day did you want to leave?,detail_request,,,,,,,,,,detail_request,,,,,,,,,,,,detail_request,,,['detail_request']
2453,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,7,U,I'd like to leave in the morning between 6:00 A.M. and 11:00 A.M.,"[{'start_index': 18, 'end_index': 32, 'text': 'in the morning', 'annotations': [{'name': 'flight_search.time_of_day'}]}, {'start_index': 33, 'end_index': 64, 'text': 'between 6:00 A.M. and 11:00 A.M', 'annotations': [{'name': 'flight_search.time_of_day'}]}]",I'd like to leave in the morning between 6:00 A.M. and 11:00 A.M.,answer,,,,,,,,,,,,answer,,,,,,,,,,,,answer,['answer']
2454,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,8,A,I found a flight for you.,,I found a flight for you.,grant,,,,,,,,,,,grant,,,,,,,,,,,,,,[]
2455,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,9,U,Okay.,,Okay.,confirmation,,,confirmation,,,,,,,,,,,,confirmation,,,,,,,,,,['confirmation']
2456,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,10,A,United Airlines.,"[{'start_index': 0, 'end_index': 15, 'text': 'United Airlines', 'annotations': [{'name': 'flight1_detail.airline'}]}]",United Airlines.,grant,,,,,,,,,,,grant,,,,,,,,,,,,,,[]
2457,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,11,U,Okay. United is pretty good.,"[{'start_index': 6, 'end_index': 12, 'text': 'United', 'annotations': [{'name': 'flight1_detail.airline'}]}]",Okay.,confirmation,,,confirmation,,,,,,,,,,,,confirmation,,,,,,,,,,['confirmation']
2458,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,11,U,Okay. United is pretty good.,"[{'start_index': 6, 'end_index': 12, 'text': 'United', 'annotations': [{'name': 'flight1_detail.airline'}]}]",United is pretty good.,confirmation,,,confirmation,,,,,,,,,,,,,,,,,,,,,,[]
2459,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,12,U,United is pretty good.,"[{'start_index': 0, 'end_index': 6, 'text': 'United', 'annotations': [{'name': 'flight1_detail.airline'}]}]",United is pretty good.,confirmation,,,confirmation,,,,,,,,,,,,,,,,,,,,,,[]
2460,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,13,A,And a two and a half hour layover in Newark EWR.,"[{'start_index': 6, 'end_index': 25, 'text': 'two and a half hour', 'annotations': [{'name': 'flight1_detail.other_description'}]}, {'start_index': 26, 'end_index': 33, 'text': 'layover', 'annotations': [{'name': 'flight1_detail.stops'}]}, {'start_index': 37, 'end_index': 47, 'text': 'Newark EWR', 'annotations': [{'name': 'flight1_detail.stops.location'}]}]",And a two and a half hour layover in Newark EWR.,grant,,,,,,,,,,,grant,,,,,,,,,,,,,,[]
2461,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,14,U,Okay.,,Okay.,confirmation,,,confirmation,,,,,,,,,,,,confirmation,,,,,,,,,,['confirmation']
2462,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,15,A,It'll depart at 10:55 A.M. and arrives in Dublin at 5:05 A.M.,"[{'start_index': 16, 'end_index': 26, 'text': '10:55 A.M.', 'annotations': [{'name': 'flight1_detail.from.time'}]}, {'start_index': 42, 'end_index': 48, 'text': 'Dublin', 'annotations': [{'name': 'flight1_detail.to'}]}, {'start_index': 52, 'end_index': 60, 'text': '5:05 A.M', 'annotations': [{'name': 'flight1_detail.to.time'}]}]",It'll depart at 10:55 A.M. and arrives in Dublin at 5:05 A.M.,grant,,,,,,,,,,,grant,,,,,,,,,,,,,,[]
2463,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,16,U,Okay.,,Okay.,confirmation,,,confirmation,,,,,,,,,,,,confirmation,,,,,,,,,,['confirmation']
2464,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,17,A,Anything else I can help you with?,,Anything else I can help you with?,completion_check,,,,,,,completion_check,,,,,,,greeting,confirmation,,,,completion_check,,,detail_request,,,"['greeting', 'confirmation', 'completion_check', 'detail_request']"
2465,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,18,U,"Nothing else for today, that pretty much covers it. Thank you for organize the flight for me.",,"Nothing else for today, that pretty much covers it.",disconfirmation,,,,,disconfirmation,,,,,,,,,greeting,,,,,,,,,,answer,"['greeting', 'answer']"
2466,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,18,U,"Nothing else for today, that pretty much covers it. Thank you for organize the flight for me.",,Thank you for organize the flight for me.,sequence_closer,,,,,,sequence_closer,,,,,,,,,,,,sequence_closer,,,,,,,['sequence_closer']
2467,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,19,A,"No problem, enjoy your day.",,"No problem, enjoy your day.",sequence_closer,,,,,,sequence_closer,,,,,,,,,,,,sequence_closer,,,,,,,['sequence_closer']
2468,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,20,U,I'll try to. Enjoy yours as well.,,I'll try to.,sequence_closer,,,,,,sequence_closer,,,,,,,,,,,,,,,,,,,[]
2469,flights,dlg-07f1ccd9-e109-41c5-8db6-afb4cdd94728,flight-5,20,U,I'll try to. Enjoy yours as well.,,Enjoy yours as well.,sequence_closer,,,,,,sequence_closer,,,,,,,,,,,,sequence_closer,,,,,,,['sequence_closer']
4625,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,0,U,I would like help finding a flight to Berlin.,"[{'start_index': 38, 'end_index': 44, 'text': 'Berlin', 'annotations': [{'name': 'flight_search.destination1'}]}]",I would like help finding a flight to Berlin.,partial_request,,,,,,,,,partial_request,,,,,,,,,,,,,,,,[]
4626,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,1,A,When would you like to go to Berlin?,"[{'start_index': 29, 'end_index': 35, 'text': 'Berlin', 'annotations': [{'name': 'flight_search.destination1'}]}]",When would you like to go to Berlin?,detail_request,,,,,,,,,,detail_request,,,,,,,,,,,,detail_request,,,['detail_request']
4627,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,2,U,I'm thinking from February 28th through March 7th.,"[{'start_index': 18, 'end_index': 31, 'text': 'February 28th', 'annotations': [{'name': 'flight_search.date.depart_origin'}]}, {'start_index': 40, 'end_index': 49, 'text': 'March 7th', 'annotations': [{'name': 'flight_search.date.return'}]}]",I'm thinking from February 28th through March 7th.,answer,,,,,,,,,,,,answer,,greeting,,,,,,,,,,answer,"['greeting', 'answer']"
4628,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,3,A,Could you please repeat those dates for me? I apologize.,,Could you please repeat those dates for me?,repair_initiator,repair_initiator,,,,,,,,,,,,repair_initiator,,,,,,,,,detail_request,,,"['repair_initiator', 'detail_request']"
4629,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,3,A,Could you please repeat those dates for me? I apologize.,,I apologize.,x,,,,,,,,,,,,,,,,,,,,,,,,,[]
4630,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,4,U,I would like to fly out on February 28th through March 7th.,"[{'start_index': 27, 'end_index': 40, 'text': 'February 28th', 'annotations': [{'name': 'flight_search.date.depart_origin'}]}, {'start_index': 49, 'end_index': 58, 'text': 'March 7th', 'annotations': [{'name': 'flight_search.date.return'}]}]",I would like to fly out on February 28th through March 7th.,repair,,,,,,,,,,,,,,,,,,,,,,,,,[]
4631,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,5,A,"Okay, excellent! Do you have any preferences for this flight?",,"Okay, excellent!",confirmation,,,confirmation,,,,,,,,,,,,confirmation,,,sequence_closer,,,,,,,"['confirmation', 'sequence_closer']"
4632,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,5,A,"Okay, excellent! Do you have any preferences for this flight?",,Do you have any preferences for this flight?,detail_request,,,,,,,,,,detail_request,,,,greeting,,,,,,,,detail_request,,,"['greeting', 'detail_request']"
4633,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,6,U,I would like to ride coach and not to have any layovers.,"[{'start_index': 21, 'end_index': 26, 'text': 'coach', 'annotations': [{'name': 'flight_search.seating_class'}]}, {'start_index': 47, 'end_index': 55, 'text': 'layovers', 'annotations': [{'name': 'flight_search.stops'}]}]",I would like to ride coach and not to have any layovers.,answer,,,,,,,,,,,,answer,,,,,,,,,,,,answer,['answer']
4634,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,7,A,I apologize but there are no flights that have no stops.,"[{'start_index': 47, 'end_index': 55, 'text': 'no stops', 'annotations': [{'name': 'flight_search.stops'}]}]",I apologize but there are no flights that have no stops.,disconfirmation,,,,,disconfirmation,,,,,,,,,,,,disconfirmation,,,,,,,,['disconfirmation']
4635,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,8,A,"Okay, anything else?",,"Okay, anything else?","confirmation, completion_check",,,confirmation,,,,completion_check,,,,,,,greeting,confirmation,,,,completion_check,,,detail_request,,,"['greeting', 'confirmation', 'completion_check', 'detail_request']"
4636,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,9,U,I would like to have something before 12:00 PM.,"[{'start_index': 31, 'end_index': 46, 'text': 'before 12:00 PM', 'annotations': [{'name': 'flight_search.time_of_day'}]}]",I would like to have something before 12:00 PM.,partial_request,,,,,,,,,partial_request,,,,,greeting,,,,,,,,,,answer,"['greeting', 'answer']"
4637,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,10,A,Is that all?,,Is that all?,completion_check,,,,,,,completion_check,,,,,,,,,,,,completion_check,,,detail_request,,,"['completion_check', 'detail_request']"
4638,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,11,U,Yes.,,Yes.,confirmation,,,confirmation,,,,,,,,,,,,confirmation,,,,,,,,,answer,"['confirmation', 'answer']"
4639,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,12,A,I'm going to see which one will work best for you.,,I'm going to see which one will work best for you.,x,,,,,,,,,,,,,,greeting,,,,,,,,,,,['greeting']
4640,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,13,A,One moment.,,One moment.,hold_request,,,,,,,,hold_request,,,,,,,,,,,,,,,,,[]
4641,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,14,A,Hold on.,,Hold on.,hold_request,,,,,,,,hold_request,,,,,,,,,,,,hold_request,,,,,['hold_request']
4642,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,15,A,I found a flight for $960 that leaves Los Angeles at 4:10 PM and arrives in Venice at 9:55 PM.,"[{'start_index': 21, 'end_index': 25, 'text': '$960', 'annotations': [{'name': 'flight1_detail.fare'}]}, {'start_index': 38, 'end_index': 49, 'text': 'Los Angeles', 'annotations': [{'name': 'flight1_detail.from'}]}, {'start_index': 53, 'end_index': 60, 'text': '4:10 PM', 'annotations': [{'name': 'flight1_detail.from.time'}]}, {'start_index': 76, 'end_index': 82, 'text': 'Venice', 'annotations': [{'name': 'flight1_detail.to'}]}, {'start_index': 86, 'end_index': 93, 'text': '9:55 PM', 'annotations': [{'name': 'flight1_detail.to.time'}]}]",I found a flight for $960 that leaves Los Angeles at 4:10 PM and arrives in Venice at 9:55 PM.,grant,,,,,,,,,,,grant,,,,,,,,,,,,,,[]
4643,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,16,A,Will that work out for you?,,Will that work out for you?,detail_request,,,,,,,,,,detail_request,,,,,,,,,,,,detail_request,,,['detail_request']
4644,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,17,U,That would be perfect.,,That would be perfect.,confirmation,,,confirmation,,,,,,,,,,,,,,,sequence_closer,,,,,,answer,"['sequence_closer', 'answer']"
4645,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,18,A,Do you have any specifications for the return home flight?,,Do you have any specifications for the return home flight?,detail_request,,,,,,,,,,detail_request,,,,,,,,,,,,detail_request,,,['detail_request']
4646,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,19,U,Just an early morning flight.,"[{'start_index': 8, 'end_index': 21, 'text': 'early morning', 'annotations': [{'name': 'flight_search.time_of_day'}]}]",Just an early morning flight.,answer,,,,,,,,,,,,answer,,,,,,,,,,,,answer,['answer']
4647,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,20,A,Is that all?,,Is that all?,completion_check,,,,,,,completion_check,,,,,,,,,,,,completion_check,,,detail_request,,,"['completion_check', 'detail_request']"
4648,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,21,U,Yes.,,Yes.,confirmation,,,confirmation,,,,,,,,,,,,confirmation,,,,,,,,,answer,"['confirmation', 'answer']"
4649,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,22,A,One moment.,,One moment.,hold_request,,,,,,,,hold_request,,,,,,,,,,,,,,,,,[]
4650,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,23,A,I have found a flight that leaves at 6:20 AM from Venice and arrives at Los Angeles at 6:55 PM.,"[{'start_index': 37, 'end_index': 44, 'text': '6:20 AM', 'annotations': [{'name': 'flight2_detail.from.time'}]}, {'start_index': 50, 'end_index': 56, 'text': 'Venice', 'annotations': [{'name': 'flight2_detail.from'}]}, {'start_index': 72, 'end_index': 83, 'text': 'Los Angeles', 'annotations': [{'name': 'flight2_detail.to'}]}, {'start_index': 87, 'end_index': 94, 'text': '6:55 PM', 'annotations': [{'name': 'flight2_detail.to.time'}]}]",I have found a flight that leaves at 6:20 AM from Venice and arrives at Los Angeles at 6:55 PM.,grant,,,,,,,,,,,grant,,,,,,,,,,,,,,[]
4651,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,24,U,That would be great.,,That would be great.,confirmation,,,confirmation,,,,,,,,,,,,,,,sequence_closer,,,,,,,['sequence_closer']
4652,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,25,A,"Perfect, do you have any other preferences?",,"Perfect, do you have any other preferences?","confirmation, detail_request",,,confirmation,,,,,,,detail_request,,,,,,,,sequence_closer,,,,detail_request,,,"['sequence_closer', 'detail_request']"
4653,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,26,U,I don't.,,I don't.,disconfirmation,,,,,disconfirmation,,,,,,,,,,,,,,,,,,,answer,['answer']
4654,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,27,A,I will now send you the flight details enjoy.,,I will now send you the flight details enjoy.,grant,,,,,,,,,,,grant,,,,,,,sequence_closer,,,,,,,['sequence_closer']
4655,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,28,U,Perfect. Thank you.,,Perfect.,sequence_closer,,,,,,sequence_closer,,,,,,,,,,,,sequence_closer,,,,,,,['sequence_closer']
4656,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,28,U,Perfect. Thank you.,,Thank you.,sequence_closer,,,,,,sequence_closer,,,,,,,,,,,,sequence_closer,,,,,,,['sequence_closer']
4657,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,29,A,"Ok, goodbye.",,"Ok, goodbye.",sequence_closer,,,,,,sequence_closer,,,,,,,,,,,,sequence_closer,,,,,,,['sequence_closer']
4658,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,30,U,Bye.,,Bye.,sequence_closer,,,,,,sequence_closer,,,,,,,,,,,,sequence_closer,,,,,,,['sequence_closer']
5235,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,0,A,"Hello, How can I help you?",,"Hello, How can I help you?",greeting,,greeting,,,,,,,,,,,,greeting,,,,,,,,detail_request,,,"['greeting', 'detail_request']"
5236,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,1,U,"Hello, I'd like to take a round trip ticket to LA, from LA to London.","[{'start_index': 26, 'end_index': 36, 'text': 'round trip', 'annotations': [{'name': 'flight_search.type'}]}, {'start_index': 47, 'end_index': 49, 'text': 'LA', 'annotations': [{'name': 'flight_search.origin'}]}, {'start_index': 62, 'end_index': 68, 'text': 'London', 'annotations': [{'name': 'flight_search.destination1'}]}]","Hello, I'd like to take a round trip ticket to LA, from LA to London.","greeting, partial_request",,greeting,,,,,,,partial_request,,,,,greeting,,,,,,,,,,answer,"['greeting', 'answer']"
5237,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,2,A,Can you please confirm the dates of your travel?,,Can you please confirm the dates of your travel?,detail_request,,,,,,,,,,detail_request,,,,,,,,,,,,detail_request,,,['detail_request']
5238,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,3,U,Yeah. I'm looking to leave on Sunday the 11th and returning 5 days later on the 16th.,"[{'start_index': 30, 'end_index': 45, 'text': 'Sunday the 11th', 'annotations': [{'name': 'flight_search.date.depart_origin'}]}, {'start_index': 80, 'end_index': 84, 'text': '16th', 'annotations': [{'name': 'flight_search.date.return'}]}]",Yeah.,confirmation,,,confirmation,,,,,,,,,,,,confirmation,,,,,,,,,answer,"['confirmation', 'answer']"
5239,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,3,U,Yeah. I'm looking to leave on Sunday the 11th and returning 5 days later on the 16th.,"[{'start_index': 30, 'end_index': 45, 'text': 'Sunday the 11th', 'annotations': [{'name': 'flight_search.date.depart_origin'}]}, {'start_index': 80, 'end_index': 84, 'text': '16th', 'annotations': [{'name': 'flight_search.date.return'}]}]",I'm looking to leave on Sunday the 11th and returning 5 days later on the 16th.,answer,,,,,,,,,,,,answer,,,,,,,,,,,,,[]
5240,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,4,A,Do you have any other preferences?,,Do you have any other preferences?,detail_request,,,,,,,,,,detail_request,,,,,,,,,,,,detail_request,,,['detail_request']
5241,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,5,U,"Yes, It has to be business class and window seat, please.","[{'start_index': 18, 'end_index': 32, 'text': 'business class', 'annotations': [{'name': 'flight_search.seating_class'}]}, {'start_index': 37, 'end_index': 48, 'text': 'window seat', 'annotations': [{'name': 'flight_search.seat_location'}]}]","Yes, It has to be business class and window seat, please.","confirmation, answer",,,confirmation,,,,,,,,,answer,,,confirmation,,,,,,,,,answer,"['confirmation', 'answer']"
5242,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,6,A,"I have found an overnight nonstop flight, departing Los Angeles at 4:10 p.m. and arriving London at 10:40 a.m.","[{'start_index': 26, 'end_index': 33, 'text': 'nonstop', 'annotations': [{'name': 'flight1_detail.stops'}]}, {'start_index': 52, 'end_index': 63, 'text': 'Los Angeles', 'annotations': [{'name': 'flight1_detail.from'}]}, {'start_index': 67, 'end_index': 76, 'text': '4:10 p.m.', 'annotations': [{'name': 'flight1_detail.from.time'}]}, {'start_index': 90, 'end_index': 96, 'text': 'London', 'annotations': [{'name': 'flight1_detail.to'}]}, {'start_index': 100, 'end_index': 109, 'text': '10:40 a.m', 'annotations': [{'name': 'flight1_detail.to.time'}]}]","I have found an overnight nonstop flight, departing Los Angeles at 4:10 p.m. and arriving London at 10:40 a.m.",grant,,,,,,,,,,,grant,,,,,,,,,,,,,,[]
5243,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,7,U,That sounds good.,,That sounds good.,confirmation,,,confirmation,,,,,,,,,,,,confirmation,,,,,,,,,,['confirmation']
5244,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,8,A,Will this work for you?,,Will this work for you?,request_summary,,,,,,,,,,,,,,greeting,,,,,,,,detail_request,,,"['greeting', 'detail_request']"
5245,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,9,U,That'll work for me. How about the return trip?,,That'll work for me.,confirmation,,,confirmation,,,,,,,,,,,,,,,,,,,,,answer,['answer']
5246,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,9,U,That'll work for me. How about the return trip?,,How about the return trip?,partial_request,,,,,,,,,partial_request,,,,,,,,,,,,partial_request,,,,['partial_request']
5247,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,10,A,"For the return, I have found the flight departing London at 3:30 p.m. and arrive in Los Angeles at 6:55 p.m.","[{'start_index': 50, 'end_index': 56, 'text': 'London', 'annotations': [{'name': 'flight2_detail.from'}]}, {'start_index': 60, 'end_index': 69, 'text': '3:30 p.m.', 'annotations': [{'name': 'flight2_detail.from.time'}]}, {'start_index': 84, 'end_index': 95, 'text': 'Los Angeles', 'annotations': [{'name': 'flight2_detail.to'}]}, {'start_index': 99, 'end_index': 107, 'text': '6:55 p.m', 'annotations': [{'name': 'flight2_detail.to.time'}]}]","For the return, I have found the flight departing London at 3:30 p.m. and arrive in Los Angeles at 6:55 p.m.",grant,,,,,,,,,,,grant,,,,,,,,,,,,grant,,['grant']
