,task,conversation_id,instruction_id,index,speaker,text,segments,new_text,Gold labels,DA_indicators_sent,DA_rep_init,DA_rep,DA_greet,DA_req_sum,DA_conf,DA_receipt,DA_disconf,DA_inquiry,DA_closer,all_DA
4627,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,2,USER,I'm thinking from February 28th through March 7th.,"[{'start_index': 18, 'end_index': 31, 'text': 'February 28th', 'annotations': [{'name': 'flight_search.date.depart_origin'}]}, {'start_index': 40, 'end_index': 49, 'text': 'March 7th', 'annotations': [{'name': 'flight_search.date.return'}]}]",I'm thinking from February 28th through March 7th.,,greeting,,,greeting,,,,,,,['greeting']
4628,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,3,ASSISTANT,Could you please repeat those dates for me? I apologize.,,Could you please repeat those dates for me?,,repair_initiator,repair_initiator,,,,,,,inquiry,,"['repair_initiator', 'inquiry']"
4629,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,3,ASSISTANT,Could you please repeat those dates for me? I apologize.,,I apologize.,,x,,,,,,,,,,[]
4630,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,4,USER,I would like to fly out on February 28th through March 7th.,"[{'start_index': 27, 'end_index': 40, 'text': 'February 28th', 'annotations': [{'name': 'flight_search.date.depart_origin'}]}, {'start_index': 49, 'end_index': 58, 'text': 'March 7th', 'annotations': [{'name': 'flight_search.date.return'}]}]",I would like to fly out on February 28th through March 7th.,,x,,,,,,,,,,[]
4631,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,5,ASSISTANT,"Okay, excellent! Do you have any preferences for this flight?",,"Okay, excellent!",,confirmation,,,,,confirmation,,,,sequence_closer,"['confirmation', 'sequence_closer']"
4632,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,5,ASSISTANT,"Okay, excellent! Do you have any preferences for this flight?",,Do you have any preferences for this flight?,,greeting,,,greeting,,,,,inquiry,,"['greeting', 'inquiry']"
4633,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,6,USER,I would like to ride coach and not to have any layovers.,"[{'start_index': 21, 'end_index': 26, 'text': 'coach', 'annotations': [{'name': 'flight_search.seating_class'}]}, {'start_index': 47, 'end_index': 55, 'text': 'layovers', 'annotations': [{'name': 'flight_search.stops'}]}]",I would like to ride coach and not to have any layovers.,,x,,,,,,,,,,[]
4634,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,7,ASSISTANT,I apologize but there are no flights that have no stops.,"[{'start_index': 47, 'end_index': 55, 'text': 'no stops', 'annotations': [{'name': 'flight_search.stops'}]}]",I apologize but there are no flights that have no stops.,,disconfirmation,,,,,,,disconfirmation,,,['disconfirmation']
4635,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,8,ASSISTANT,"Okay, anything else?",,"Okay, anything else?",,greeting,,,greeting,,confirmation,,,inquiry,sequence_closer,"['greeting', 'confirmation', 'inquiry', 'sequence_closer']"
4636,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,9,USER,I would like to have something before 12:00 PM.,"[{'start_index': 31, 'end_index': 46, 'text': 'before 12:00 PM', 'annotations': [{'name': 'flight_search.time_of_day'}]}]",I would like to have something before 12:00 PM.,,greeting,,,greeting,,,,,,,['greeting']
4637,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,10,ASSISTANT,Is that all?,,Is that all?,,x,,,,,,,,inquiry,,['inquiry']
4638,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,11,USER,Yes.,,Yes.,,confirmation,,,,,confirmation,,,,,['confirmation']
4639,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,12,ASSISTANT,I'm going to see which one will work best for you.,,I'm going to see which one will work best for you.,,greeting,,,greeting,,,,,,,['greeting']
4640,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,13,ASSISTANT,One moment.,,One moment.,,x,,,,,,,,,,[]
4641,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,14,ASSISTANT,Hold on.,,Hold on.,,x,,,,,,,,,,[]
4642,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,15,ASSISTANT,I found a flight for $960 that leaves Los Angeles at 4:10 PM and arrives in Venice at 9:55 PM.,"[{'start_index': 21, 'end_index': 25, 'text': '$960', 'annotations': [{'name': 'flight1_detail.fare'}]}, {'start_index': 38, 'end_index': 49, 'text': 'Los Angeles', 'annotations': [{'name': 'flight1_detail.from'}]}, {'start_index': 53, 'end_index': 60, 'text': '4:10 PM', 'annotations': [{'name': 'flight1_detail.from.time'}]}, {'start_index': 76, 'end_index': 82, 'text': 'Venice', 'annotations': [{'name': 'flight1_detail.to'}]}, {'start_index': 86, 'end_index': 93, 'text': '9:55 PM', 'annotations': [{'name': 'flight1_detail.to.time'}]}]",I found a flight for $960 that leaves Los Angeles at 4:10 PM and arrives in Venice at 9:55 PM.,,x,,,,,,,,,,[]
4643,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,16,ASSISTANT,Will that work out for you?,,Will that work out for you?,,x,,,,,,,,inquiry,,['inquiry']
4644,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,17,USER,That would be perfect.,,That would be perfect.,,sequence_closer,,,,,,,,,sequence_closer,['sequence_closer']
4645,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,18,ASSISTANT,Do you have any specifications for the return home flight?,,Do you have any specifications for the return home flight?,,x,,,,,,,,inquiry,,['inquiry']
4646,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,19,USER,Just an early morning flight.,"[{'start_index': 8, 'end_index': 21, 'text': 'early morning', 'annotations': [{'name': 'flight_search.time_of_day'}]}]",Just an early morning flight.,,x,,,,,,,,,,[]
4647,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,20,ASSISTANT,Is that all?,,Is that all?,,x,,,,,,,,inquiry,,['inquiry']
4648,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,21,USER,Yes.,,Yes.,,confirmation,,,,,confirmation,,,,,['confirmation']
4649,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,22,ASSISTANT,One moment.,,One moment.,,x,,,,,,,,,,[]
4650,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,23,ASSISTANT,I have found a flight that leaves at 6:20 AM from Venice and arrives at Los Angeles at 6:55 PM.,"[{'start_index': 37, 'end_index': 44, 'text': '6:20 AM', 'annotations': [{'name': 'flight2_detail.from.time'}]}, {'start_index': 50, 'end_index': 56, 'text': 'Venice', 'annotations': [{'name': 'flight2_detail.from'}]}, {'start_index': 72, 'end_index': 83, 'text': 'Los Angeles', 'annotations': [{'name': 'flight2_detail.to'}]}, {'start_index': 87, 'end_index': 94, 'text': '6:55 PM', 'annotations': [{'name': 'flight2_detail.to.time'}]}]",I have found a flight that leaves at 6:20 AM from Venice and arrives at Los Angeles at 6:55 PM.,,x,,,,,,,,,,[]
4651,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,24,USER,That would be great.,,That would be great.,,sequence_closer,,,,,,,,,sequence_closer,['sequence_closer']
4652,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,25,ASSISTANT,"Perfect, do you have any other preferences?",,"Perfect, do you have any other preferences?",,sequence_closer,,,,,,,,inquiry,sequence_closer,"['inquiry', 'sequence_closer']"
4653,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,26,USER,I don't.,,I don't.,,x,,,,,,,,,,[]
4654,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,27,ASSISTANT,I will now send you the flight details enjoy.,,I will now send you the flight details enjoy.,,x,,,,,,,,,,[]
4655,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,28,USER,Perfect. Thank you.,,Perfect.,,sequence_closer,,,,,,,,,sequence_closer,['sequence_closer']
4656,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,28,USER,Perfect. Thank you.,,Thank you.,,sequence_closer,,,,,,,,,sequence_closer,['sequence_closer']
4657,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,29,ASSISTANT,"Ok, goodbye.",,"Ok, goodbye.",,x,,,,,,,,,,[]
4658,flights,dlg-0e6687fa-5af7-4d20-8539-a645fcc80e98,flight-4,30,USER,Bye.,,Bye.,,x,,,,,,,,,,[]
5235,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,0,ASSISTANT,"Hello, How can I help you?",,"Hello, How can I help you?",,greeting,,,greeting,,,,,inquiry,,"['greeting', 'inquiry']"
5236,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,1,USER,"Hello, I'd like to take a round trip ticket to LA, from LA to London.","[{'start_index': 26, 'end_index': 36, 'text': 'round trip', 'annotations': [{'name': 'flight_search.type'}]}, {'start_index': 47, 'end_index': 49, 'text': 'LA', 'annotations': [{'name': 'flight_search.origin'}]}, {'start_index': 62, 'end_index': 68, 'text': 'London', 'annotations': [{'name': 'flight_search.destination1'}]}]","Hello, I'd like to take a round trip ticket to LA, from LA to London.",,greeting,,,greeting,,,,,,,['greeting']
5237,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,2,ASSISTANT,Can you please confirm the dates of your travel?,,Can you please confirm the dates of your travel?,,request_summary,,,,request_summary,,,,inquiry,,"['request_summary', 'inquiry']"
5238,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,3,USER,Yeah. I'm looking to leave on Sunday the 11th and returning 5 days later on the 16th.,"[{'start_index': 30, 'end_index': 45, 'text': 'Sunday the 11th', 'annotations': [{'name': 'flight_search.date.depart_origin'}]}, {'start_index': 80, 'end_index': 84, 'text': '16th', 'annotations': [{'name': 'flight_search.date.return'}]}]",Yeah.,,confirmation,,,,,confirmation,,,,,['confirmation']
5239,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,3,USER,Yeah. I'm looking to leave on Sunday the 11th and returning 5 days later on the 16th.,"[{'start_index': 30, 'end_index': 45, 'text': 'Sunday the 11th', 'annotations': [{'name': 'flight_search.date.depart_origin'}]}, {'start_index': 80, 'end_index': 84, 'text': '16th', 'annotations': [{'name': 'flight_search.date.return'}]}]",I'm looking to leave on Sunday the 11th and returning 5 days later on the 16th.,,x,,,,,,,,,,[]
5240,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,4,ASSISTANT,Do you have any other preferences?,,Do you have any other preferences?,,x,,,,,,,,inquiry,,['inquiry']
5241,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,5,USER,"Yes, It has to be business class and window seat, please.","[{'start_index': 18, 'end_index': 32, 'text': 'business class', 'annotations': [{'name': 'flight_search.seating_class'}]}, {'start_index': 37, 'end_index': 48, 'text': 'window seat', 'annotations': [{'name': 'flight_search.seat_location'}]}]","Yes, It has to be business class and window seat, please.",,confirmation,,,,,confirmation,,,,,['confirmation']
5242,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,6,ASSISTANT,"I have found an overnight nonstop flight, departing Los Angeles at 4:10 p.m. and arriving London at 10:40 a.m.","[{'start_index': 26, 'end_index': 33, 'text': 'nonstop', 'annotations': [{'name': 'flight1_detail.stops'}]}, {'start_index': 52, 'end_index': 63, 'text': 'Los Angeles', 'annotations': [{'name': 'flight1_detail.from'}]}, {'start_index': 67, 'end_index': 76, 'text': '4:10 p.m.', 'annotations': [{'name': 'flight1_detail.from.time'}]}, {'start_index': 90, 'end_index': 96, 'text': 'London', 'annotations': [{'name': 'flight1_detail.to'}]}, {'start_index': 100, 'end_index': 109, 'text': '10:40 a.m', 'annotations': [{'name': 'flight1_detail.to.time'}]}]","I have found an overnight nonstop flight, departing Los Angeles at 4:10 p.m. and arriving London at 10:40 a.m.",,x,,,,,,,,,,[]
5243,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,7,USER,That sounds good.,,That sounds good.,,x,,,,,,,,,,[]
5244,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,8,ASSISTANT,Will this work for you?,,Will this work for you?,,greeting,,,greeting,,,,,inquiry,,"['greeting', 'inquiry']"
5245,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,9,USER,That'll work for me. How about the return trip?,,That'll work for me.,,x,,,,,,,,,,[]
5246,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,9,USER,That'll work for me. How about the return trip?,,How about the return trip?,,x,,,,,,,,inquiry,,['inquiry']
5247,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,10,ASSISTANT,"For the return, I have found the flight departing London at 3:30 p.m. and arrive in Los Angeles at 6:55 p.m.","[{'start_index': 50, 'end_index': 56, 'text': 'London', 'annotations': [{'name': 'flight2_detail.from'}]}, {'start_index': 60, 'end_index': 69, 'text': '3:30 p.m.', 'annotations': [{'name': 'flight2_detail.from.time'}]}, {'start_index': 84, 'end_index': 95, 'text': 'Los Angeles', 'annotations': [{'name': 'flight2_detail.to'}]}, {'start_index': 99, 'end_index': 107, 'text': '6:55 p.m', 'annotations': [{'name': 'flight2_detail.to.time'}]}]","For the return, I have found the flight departing London at 3:30 p.m. and arrive in Los Angeles at 6:55 p.m.",,x,,,,,,,,,,[]
5248,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,11,USER,That sounds great. Can you email me the details? And book it for me. Book it and send me the details to my email.,,That sounds great.,,sequence_closer,,,,,,,,,sequence_closer,['sequence_closer']
5249,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,11,USER,That sounds great. Can you email me the details? And book it for me. Book it and send me the details to my email.,,Can you email me the details?,,x,,,,,,,,inquiry,,['inquiry']
5250,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,11,USER,That sounds great. Can you email me the details? And book it for me. Book it and send me the details to my email.,,And book it for me.,,x,,,,,,,,,,[]
5251,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,11,USER,That sounds great. Can you email me the details? And book it for me. Book it and send me the details to my email.,,Book it and send me the details to my email.,,x,,,,,,,,,,[]
5252,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,12,ASSISTANT,The booking has been done and the details have been emailed to you.,"[{'start_index': 0, 'end_index': 25, 'text': 'The booking has been done', 'annotations': [{'name': 'flight_booked.flight_booked'}]}]",The booking has been done and the details have been emailed to you.,,x,,,,,,,,,,[]
5253,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,13,USER,"Okay, Thank you very much. You have a great and wonderful day.",,"Okay, Thank you very much.",,confirmation,,,,,confirmation,,,,sequence_closer,"['confirmation', 'sequence_closer']"
5254,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,13,USER,"Okay, Thank you very much. You have a great and wonderful day.",,You have a great and wonderful day.,,sequence_closer,,,,,,,,,sequence_closer,['sequence_closer']
5255,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,14,ASSISTANT,You're welcome. Goodbye.,,You're welcome.,,receipt,,,,,,receipt,,,,['receipt']
5256,flights,dlg-106b25d3-bfbe-4622-b864-c24aeb9d7052,flight-11,14,ASSISTANT,You're welcome. Goodbye.,,Goodbye.,,x,,,,,,,,,,[]
9072,flights,dlg-1c9df862-96b7-43fa-9ce1-2c497f6415ff,flight-11,0,ASSISTANT,Hi. How can I help you?,,Hi.,,greeting,,,greeting,,,,,,,['greeting']
9073,flights,dlg-1c9df862-96b7-43fa-9ce1-2c497f6415ff,flight-11,0,ASSISTANT,Hi. How can I help you?,,How can I help you?,,x,,,,,,,,inquiry,,['inquiry']
9074,flights,dlg-1c9df862-96b7-43fa-9ce1-2c497f6415ff,flight-11,1,USER,Hello Assistant. How are you today?,,Hello Assistant.,,greeting,,,greeting,,,,,,,['greeting']
9075,flights,dlg-1c9df862-96b7-43fa-9ce1-2c497f6415ff,flight-11,1,USER,Hello Assistant. How are you today?,,How are you today?,,x,,,,,,,,inquiry,,['inquiry']
9076,flights,dlg-1c9df862-96b7-43fa-9ce1-2c497f6415ff,flight-11,2,ASSISTANT,Doing fine Thank you,,Doing fine Thank you,,sequence_closer,,,,,,,,,sequence_closer,['sequence_closer']
